supermarket,unit_price,unit,names,date,category,own_brand,ASDA_price,Morrisons_price,Tesco_price
Sains,14.5,kg,Lavazza Qualita Rossa Coffee Beans,20240129,drinks,False,17.6,15.8,16.700000000000006
Sains,29.9,kg,Peperami Chorizo,20240129,fresh_food,False,22.5,27.5,30.0
Sains,14.7,kg,Walkers Ready Salted Multipack Crisps,20240129,food_cupboard,False,13.3,14.7,11.75
Sains,18.5,unit,Sterling Rolling Tobacco Essential,20240129,household,False,609.0,609.0,612.85
Sains,5.5,kg,Whole Earth Crunchy Peanut Butter,20240129,food_cupboard,False,5.5,6.8,9.9
Sains,19.1,kg,Reese's Peanut Butter Creme Egg,20240129,food_cupboard,False,20.6,20.6,17.6
Sains,7.06,kg,Betty Crocker Red Velvet Chocolate Cake Mix,20240129,food_cupboard,False,7.06,,7.1
Sains,2.2,l,Innocent Apple Juice,20240129,fresh_food,False,3.3,2.0,3.15
Sains,1.3,l,San Pellegrino Sparkling Natural Mineral Water,20240129,drinks,False,1.4,0.9,1.8666666666666665
Sains,4.6,kg,Loyd Grossman Tomato & Basil Pasta Sauce,20240129,food_cupboard,False,8.6,8.5,7.15
Sains,7.0,l,Naked Green Machine Super Smoothie,20240129,drinks,False,2.7,5.3,5.3
Sains,8.1,l,Ben & Jerry's Caramel Chew Chew Ice Cream Tub,20240129,frozen,False,11.1,11.8,11.2
Sains,0.25,unit,Soreen Malt Lunchbox Loaves,20240129,bakery,False,0.25,0.25,4.325
Sains,14.67,kg,Saint Agur Blue Cheese,20240129,fresh_food,False,20.0,,20.0
Sains,12.45,kg,Cadbury Dairy Milk Whole Nut Chocolate Bar,20240129,food_cupboard,False,12.5,11.1,11.1
Sains,7.0,kg,Pukka Minced Beef & Onion Pie,20240129,fresh_food,False,7.0,9.3,2.0
Sains,11.17,kg,Dairylea Cheese Spread,20240129,fresh_food,False,10.93,8.33,11.725
Sains,150.0,kg,Metanium Nappy Rash Ointment,20240129,baby_products,False,155.0,155.0,155.0
Sains,3.2375000000000003,l,Coca-Cola Original Taste,20240129,drinks,False,1.6,2.5,3.128571428571429
Sains,4.3,kg,Heinz Lentil & Bacon Soup,20240129,food_cupboard,False,4.2,4.2,4.2
Sains,10.0,kg,Pringles Cheese & Onion Sharing Crisps,20240129,food_cupboard,False,12.2,12.2,12.2
Sains,8.8,kg,Arla Protein Chocolate Flavour Pudding,20240129,fresh_food,False,6.2,6.2,8.8
Sains,5.9,kg,Pukka Beef Pasty,20240129,fresh_food,False,8.3,8.3,8.3
Sains,11.4,kg,Blue Dragon Thai Green Curry Paste,20240129,food_cupboard,False,13.5,13.5,13.5
Sains,4.3,kg,Onken Natural Set Yogurt,20240129,fresh_food,False,2.5,2.8,3.2
