supermarket,unit_price,unit,names,date,category,own_brand,ASDA_price,Morrisons_price,Sains_price
Tesco,7.1,kg,Betty Crocker Velvety Vanilla Cake Mix,20240129,food_cupboard,False,7.1,5.9,7.06
Tesco,12.2,kg,Pringles Paprika Sharing Crisps,20240129,food_cupboard,False,12.2,12.2,10.0
Tesco,3.0,kg,Cofresh London Mix,20240129,food_cupboard,False,4.6,4.7,3.1
Tesco,2.45,l,Schweppes Tonic Water,20240129,drinks,False,1.7,1.3,2.2
Tesco,1.5,l,Old Jamaica Ginger Beer,20240129,drinks,False,1.8,1.8,1.5
Tesco,4.8,l,Red Bull Energy Drink,20240129,drinks,False,4.3,5.1,5.433333333333334
Tesco,23.8,kg,Knorr Beef Stock Cubes,20240129,food_cupboard,False,23.8,15.0,15.0
Tesco,4.325,unit,Soreen Malt Lunchbox Loaves,20240129,food_cupboard,False,0.25,0.25,0.25
Tesco,42.0,kg,Savlon Antiseptic Cream,20240129,health_products,False,48.0,73.0,57.65
Tesco,32.5,kg,Lindt Gold Bunny White Chocolate,20240129,food_cupboard,False,25.0,37.5,37.5
Tesco,10.0,kg,Tilda Kids Sunshine Vegetable Rice,20240129,baby_products,False,8.0,10.0,8.0
Tesco,0.46,unit,Maltesers Cake Bars,20240129,food_cupboard,False,0.4,0.3,0.3
Tesco,52.1,kg,Nescafe Azera Americano Instant Coffee,20240129,drinks,False,38.9,39.3,53.6
Tesco,2.2,l,Fruit Shoot Apple Kids Juice Drink,20240129,drinks,False,1.6,2.2,2.3
Tesco,7.9,kg,Blue Dragon Chow Mein Stir Fry Sauce,20240129,food_cupboard,False,7.9,7.9,5.8
Tesco,15.0,kg,Very Lazy Cajun Paste,20240129,food_cupboard,False,13.0,15.3,17.9
Tesco,13.5,kg,Walkers Salt & Shake Multipack Crisps,20240129,food_cupboard,False,13.9,15.3,15.3
Tesco,11.1,kg,Cadbury Dairy Milk Whole Nut Chocolate Bar,20240129,food_cupboard,False,12.5,11.1,12.45
Tesco,18.33,kg,Felix Goody Bag Cat Treats Original Mix,20240129,pets,False,20.0,22.5,20.5
Tesco,2.87,kg,Bakers Meaty Meals Adult Dry Dog Food Beef,20240129,pets,False,2.87,4.1,2.94
Tesco,9.1,kg,Maynards Bassetts Jelly Babies,20240129,food_cupboard,False,7.6,9.1,9.1
Tesco,9.9,kg,Whole Earth Crunchy Peanut Butter,20240129,food_cupboard,False,5.5,6.8,5.5
Tesco,2.05,l,Tango Orange Original Bottle,20240129,drinks,False,3.1,1.0,3.2
Tesco,18.33,kg,Felix Goody Bag Cat Treats Mixed Grill,20240129,pets,False,20.0,22.5,22.5
Tesco,9.6,kg,Bonne Maman Blackcurrant Conserve,20240129,food_cupboard,False,9.2,8.9,7.0
Tesco,11.9,kg,M&M's Milk Chocolate Bites Pouch Bag,20240129,food_cupboard,False,13.2,14.8,14.4
Tesco,7.12,l,Yakult Original,20240129,fresh_food,False,7.1,5.6,7.2
Tesco,4.45,kg,Lyle's Golden Syrup,20240129,food_cupboard,False,3.4,2.8,3.8333333333333335
Tesco,7.5,kg,Betty Crocker Chocolate Fudge Icing,20240129,food_cupboard,False,7.5,6.2,7.5
Tesco,10.3,kg,Pip & Nut Crunchy Peanut Butter,20240129,food_cupboard,False,6.3,6.7,7.9
Tesco,3.4,l,Dr Pepper Zero,20240129,fresh_food,False,3.4,1.0,1.2
Tesco,81.4,l,Deep Heat Muscle Rescue Heat Spray,20240129,health_products,False,69.0,81.4,69.0
