supermarket,unit_price,unit,names,date,category,own_brand,ASDA_price,Tesco_price,Sains_price
Morrisons,7.6,kg,Deliciously Ella Nutty Granola,20240129,food_cupboard,False,7.9,10.0,7.6
Morrisons,26.0,kg,Quorn Vegan Chicken Free Slices,20240129,fresh_food,False,21.9,26.0,26.0
Morrisons,609.0,kg,Sterling Rolling Tobacco Essential,20240129,drinks,False,609.0,612.85,18.5
Morrisons,12.4,l,Yutaka Japanese Rice Vinegar,20240129,food_cupboard,False,14.0,14.7,14.3
Morrisons,10.3,kg,Pukka Steak Slice,20240129,fresh_food,False,10.3,10.3,10.3
Morrisons,5.0,kg,Yeo Valley Organic Strawberry Yogurt,20240129,fresh_food,False,4.3,5.7,2.8
Morrisons,5.89,kg,Betty Crocker Tempting Chocolate Cake Mix,20240129,food_cupboard,False,7.06,13.3,7.1
Morrisons,108.3,l,Nizoral Anti-Dandruff Shampoo,20240129,health_products,False,116.7,116.7,119.2
Morrisons,14.1,kg,Rustlers All Day Breakfast Sausage Muffin,20240129,fresh_food,False,8.06,11.94,9.7
Morrisons,8.3,kg,Pukka Beef Pasty,20240129,fresh_food,False,8.3,8.3,5.9
Morrisons,7.92,kg,Blue Dragon Satay Stir Fry Sauce,20240129,food_cupboard,False,7.9,7.9,5.8
Morrisons,10.3,kg,Pukka Chicken & Bacon Slice,20240129,fresh_food,False,10.3,10.3,10.3
Morrisons,27.5,kg,Peperami Firestick,20240129,fresh_food,False,22.5,30.0,29.9
Morrisons,2.56,l,Coors,20240129,drinks,False,2.02,2.35,2.52
Morrisons,27.5,kg,Peperami Chorizo,20240129,fresh_food,False,22.5,30.0,29.9
Morrisons,13.75,kg,Yeo Valley Organic Salted Butter,20240129,fresh_food,False,11.0,12.0,10.0
Morrisons,13.5,kg,Pukka Vegan Sausage Roll,20240129,fresh_food,False,9.6,13.5,13.46
Morrisons,8.85,kg,Sharwood's Medium Egg Noodles,20240129,food_cupboard,False,8.81,8.85,5.53
Morrisons,12.2,kg,Pringles Sour Cream & Onion Sharing Crisps,20240129,food_cupboard,False,12.2,11.7,10.0
Morrisons,30.0,kg,Kenco Smooth Instant Coffee,20240129,food_cupboard,False,30.0,31.2,35.0
Morrisons,12.2,kg,Pringles Original Sharing Crisps,20240129,food_cupboard,False,12.2,11.7,10.0
Morrisons,10.3,kg,Pukka Pepperoni Pizza Slice,20240129,fresh_food,False,10.3,10.3,10.3
Morrisons,10.0,l,Bulldog Skincare Original Shower Gel,20240129,health_products,False,6.7,10.7,10.0
Morrisons,8.5,kg,Loyd Grossman Tomato & Basil Pasta Sauce,20240129,food_cupboard,False,8.6,7.15,4.6
Morrisons,11.8,kg,Colman's Tartare Sauce,20240129,food_cupboard,False,8.3,11.8,11.8
Morrisons,12.2,kg,Pringles Salt & Vinegar Sharing Crisps,20240129,food_cupboard,False,12.2,11.7,10.0
Morrisons,4.9,kg,Heinz Seriously Good Light Mayonnaise,20240129,food_cupboard,False,4.4,4.9,5.6000000000000005
Morrisons,15.88,kg,Paxo Sage & Onion Stuffing Mix,20240129,food_cupboard,False,15.88,12.95,13.283333333333333
Morrisons,11.3,l,Lea & Perrins Worcestershire Sauce,20240129,food_cupboard,False,11.3,10.5,10.15
Morrisons,7.9,kg,Blue Dragon Hoisin & Garlic Stir Fry Sauce,20240129,food_cupboard,False,7.9,7.9,5.8
Morrisons,14.7,kg,Bisto Chicken Gravy Granules,20240129,food_cupboard,False,14.7,13.566666666666668,11.566666666666668
Morrisons,7.9,kg,Blue Dragon Sweet Chilli & Garlic Stir Fry Sauce,20240129,food_cupboard,False,7.9,7.9,5.8
Morrisons,7.9,kg,Blue Dragon Black Bean Stir Fry Sauce,20240129,food_cupboard,False,7.9,7.9,5.8
Morrisons,66.0,l,Bulldog Sensitive Moisturiser,20240129,health_products,False,44.0,70.0,66.0
Morrisons,14.7,kg,Bisto Reduced Salt Gravy Granules,20240129,food_cupboard,False,14.7,13.7,12.35
Morrisons,30.0,kg,Kenco Rich Instant Coffee,20240129,food_cupboard,False,30.0,31.2,32.5
Morrisons,9.96,kg,Gressingham Duck Fat,20240129,fresh_food,False,12.6,12.6,12.0
Morrisons,13.0,kg,Bisto Best Beef Gravy Granules,20240129,food_cupboard,False,13.0,17.8,13.35
Morrisons,12.0,l,Napolina Extra Virgin Olive Oil,20240129,food_cupboard,False,11.5,10.9,11.8
Morrisons,13.0,kg,Bisto Best Chicken Gravy Granules,20240129,food_cupboard,False,13.0,17.8,13.35
Morrisons,7.9,kg,Blue Dragon Sweet & Sour Stir Fry Sauce,20240129,food_cupboard,False,7.9,7.9,5.8
Morrisons,12.8,kg,Jordans Frusli Juicy Red Berry Chewy Cereal Bars,20240129,food_cupboard,False,12.7,11.1,12.8
Morrisons,7.9,kg,Blue Dragon Chow Mein Stir Fry Sauce,20240129,food_cupboard,False,7.9,7.9,5.8
Morrisons,6.2,l,Blue Dragon Coconut Milk,20240129,food_cupboard,False,6.2,6.25,4.4
Morrisons,14.7,kg,Bisto Reduced Salt Chicken Gravy Granules,20240129,food_cupboard,False,14.7,16.3,14.7
Morrisons,13.5,kg,Blue Dragon Thai Green Curry Paste,20240129,food_cupboard,False,13.5,13.5,11.4
Morrisons,8.85,kg,Sharwood's Fine Egg Noodles,20240129,food_cupboard,False,8.81,8.85,5.53
Morrisons,12.2,kg,Pringles Cheese & Onion Sharing Crisps,20240129,food_cupboard,False,12.2,12.2,10.0
Morrisons,14.7,kg,Bisto Onion Gravy Granules,20240129,food_cupboard,False,10.5,16.3,14.7
Morrisons,18.8,kg,Knorr Chicken Stock Cubes,20240129,food_cupboard,False,23.8,19.4,15.0
Morrisons,11.0,kg,Colman's Bramley Apple Sauce,20240129,food_cupboard,False,7.7,11.0,11.0
Morrisons,13.5,kg,Blue Dragon Thai Red Curry Paste,20240129,food_cupboard,False,13.5,13.5,11.4
Morrisons,12.5,kg,Colman's Horseradish Sauce,20240129,food_cupboard,False,8.8,12.5,12.5
Morrisons,11.0,l,Colman's Seafood Sauce,20240129,food_cupboard,False,7.7,11.0,11.0
Morrisons,11.7,l,Blue Dragon Fish Sauce,20240129,food_cupboard,False,11.7,11.7,10.0
Morrisons,12.2,kg,Pringles Paprika Sharing Crisps,20240129,food_cupboard,False,12.2,12.2,10.0
Morrisons,12.2,kg,Pringles Prawn Cocktail Sharing Crisps,20240129,food_cupboard,False,12.2,12.2,10.0
Morrisons,12.2,kg,Pringles Smokey Bacon Sharing Crisps,20240129,food_cupboard,False,12.2,12.2,10.0
Morrisons,30.8,kg,Kenco Gold Indulgence Instant Coffee,20240129,food_cupboard,False,31.6,32.0,35.9
Morrisons,9.7,kg,Bonne Maman Raspberry Conserve,20240129,food_cupboard,False,9.7,9.6,7.0
Morrisons,17.2,l,Filippo Berio Mild & Light Olive Oil,20240129,food_cupboard,False,17.0,17.1,13.0
Morrisons,8.9,kg,Bonne Maman Apricot Conserve,20240129,food_cupboard,False,9.2,9.6,7.0
Morrisons,7.8,kg,Kellogg's Special K Oats & Honey Cereal,20240129,food_cupboard,False,7.8,7.9,7.9
Morrisons,12.0,l,Napolina Olive Oil,20240129,food_cupboard,False,11.8,10.9,11.1
Morrisons,4.7,l,Lee Kum Kee Panda Oyster Sauce,20240129,food_cupboard,False,4.7,4.7,4.7
Morrisons,11.7,kg,Pek Chopped Pork,20240129,food_cupboard,False,7.7,8.3,8.3
Morrisons,14.7,kg,Bisto Vegetable Gravy Granules,20240129,food_cupboard,False,14.7,16.3,14.7
Morrisons,6.8,kg,Whole Earth Crunchy Peanut Butter,20240129,food_cupboard,False,5.5,9.9,5.5
Morrisons,13.3,kg,Maille Wholegrain Mustard,20240129,food_cupboard,False,13.3,13.1,13.1
Morrisons,7.0,kg,Ocean Spray Smooth Cranberry Sauce,20240129,food_cupboard,False,7.0,7.0,7.0
Morrisons,15.0,kg,Knorr Beef Stock Cubes,20240129,food_cupboard,False,23.8,23.8,15.0
Morrisons,13.0,kg,Bisto Best Pork Gravy Granules,20240129,food_cupboard,False,13.0,17.8,16.5
Morrisons,12.0,kg,Bonne Maman Hazelnut Chocolate Spread,20240129,food_cupboard,False,12.0,13.0,9.0
