supermarket,product,unit_price,year,month,day,weekday,total_sale
ASDA,Napolina Extra Virgin Olive Oil,11.5,2024,1,29,0,2
ASDA,Schweppes Lemonade,0.7,2024,1,29,0,1
ASDA,Blue Dragon Fish Sauce,11.7,2024,1,29,0,1
ASDA,Heinz Vegetable Soup,4.2,2024,1,29,0,1
ASDA,Pringles Paprika Sharing Crisps,12.2,2024,1,29,0,1
ASDA,Colman's Seafood Sauce,7.7,2024,1,29,0,1
ASDA,Bisto Onion Gravy Granules,10.5,2024,1,29,0,1
ASDA,Betty Crocker Chocolate Fudge Brownie Mix,7.2,2024,1,29,0,1
ASDA,Colman's Tartare Sauce,8.3,2024,1,29,0,1
ASDA,Blue Dragon Sweet Chilli & Garlic Stir Fry Sauce,7.9,2024,1,29,0,1
ASDA,Whole Earth Smooth Peanut Butter,9.7,2024,1,29,0,1
ASDA,Sterling Rolling Tobacco Essential,609.0,2024,1,29,0,1
ASDA,Colman's Horseradish Sauce,8.8,2024,1,29,0,1
ASDA,Bonne Maman Hazelnut Chocolate Spread,12.0,2024,1,29,0,1
ASDA,Ben's Plant Powered Spicy Lentil Stew,6.14,2024,1,29,0,1
ASDA,Colgate Total Advanced Deep Clean Toothpaste,40.0,2024,1,29,0,1
ASDA,Shaken Udder Chocolush Milkshake,3.3,2024,1,29,0,1
ASDA,Walkers Classic Variety Multipack Crisps,13.3,2024,1,29,0,1
ASDA,Naked Blue Machine Super Smoothie,2.7,2024,1,29,0,1
ASDA,San Pellegrino Sparkling Natural Mineral Water,1.4,2024,1,29,0,2
ASDA,Fanta Orange Zero,3.4,2024,1,29,0,1
ASDA,Jimmy's Iced Coffee Mocha,6.8,2024,1,29,0,1
ASDA,Soreen Lift Bars Blueberry,0.38,2024,1,29,0,1
ASDA,Schweppes Pink Soda,1.7,2024,1,29,0,1
ASDA,Dolmio Bolognese Smooth Tomato Pasta Sauce,3.7,2024,1,29,0,1
ASDA,Pip & Nut Smooth Almond Butter,15.6,2024,1,29,0,1
ASDA,Salaam Basmati Rice,1.9,2024,1,29,0,2
ASDA,Haagen-Dazs Strawberry Cheesecake Ice Cream,11.6,2024,1,29,0,1
ASDA,Schweppes Slimline Lemonade,0.7,2024,1,29,0,1
ASDA,Ambrosia Light Rice Pudding,5.0,2024,1,29,0,1
ASDA,Anchor Salted Butter,8.0,2024,1,29,0,1
ASDA,Birds Eye Supersweet Sweetcorn,4.22,2024,1,29,0,1
ASDA,Tango Orange Original Bottle,3.1,2024,1,29,0,1
ASDA,Heinz Lentil Soup,4.2,2024,1,29,0,1
ASDA,Heinz Minestrone Soup,4.2,2024,1,29,0,1
ASDA,Pepsi Max Cherry No Sugar Cola Bottle,3.1,2024,1,29,0,1
ASDA,Walkers Salt & Shake Multipack Crisps,13.9,2024,1,29,0,1
ASDA,Properchips Barbecue Lentil Chips,27.1,2024,1,29,0,1
ASDA,Schweppes Tonic Water,1.7,2024,1,29,0,1
ASDA,Reese's Peanut Butter Creme Egg,20.6,2024,1,29,0,1
ASDA,Rajah Haldi Ground Turmeric,7.5,2024,1,29,0,2
ASDA,Kiddylicious Banana & Pumpkin Melty Buttons,73.3,2024,1,29,0,1
ASDA,Ben & Jerry's Caramel Chew Chew Ice Cream Tub,11.1,2024,1,29,0,1
ASDA,Fullgreen Riced Cauliflower & Broccoli,5.0,2024,1,29,0,1
ASDA,Heinz Seriously Good Mayonnaise,6.75,2024,1,29,0,2
ASDA,Pip & Nut Crunchy Peanut Butter,6.3,2024,1,29,0,1
ASDA,Deliciously Ella Nutty Granola,7.9,2024,1,29,0,1
ASDA,Betty Crocker Chocolate Chip Cookie Mix,10.0,2024,1,29,0,1
ASDA,Rustlers All Day Breakfast Pancake Stack,13.95,2024,1,29,0,1
ASDA,Cofresh Chilli & Lemon Bombay Mix,4.6,2024,1,29,0,1
ASDA,Tilda Kids Sunshine Vegetable Rice,8.0,2024,1,29,0,1
ASDA,Schweppes Slimline Tonic Water,1.7,2024,1,29,0,1
ASDA,Lurpak Unsalted Butter,10.75,2024,1,29,0,1
ASDA,Soreen Lift Bars Raspberry & Vanilla,0.38,2024,1,29,0,1
ASDA,Cadbury Dairy Milk Chocolate Bar,13.6,2024,1,29,0,1
ASDA,Pip & Nut Smooth Peanut Butter,6.3,2024,1,29,0,1
ASDA,Pukka All Day Breakfast Slice,10.3,2024,1,29,0,1
ASDA,Coors,2.02,2024,1,29,0,1
ASDA,Morliny Frankfurters,7.0,2024,1,29,0,1
ASDA,Bisto Vegetable Gravy Granules,14.7,2024,1,29,0,1
ASDA,Ambrosia Devon Custard,2.5,2024,1,29,0,1
ASDA,Lurpak Slightly Salted Butter,10.75,2024,1,29,0,1
ASDA,McCain Potato Smiles,5.51,2024,1,29,0,1
ASDA,Heinz Chicken Noodle Soup,4.2,2024,1,29,0,1
ASDA,Pringles Salt & Vinegar Sharing Crisps,12.2,2024,1,29,0,1
ASDA,Heinz French Onion Soup,4.2,2024,1,29,0,1
ASDA,Pringles Prawn Cocktail Sharing Crisps,12.2,2024,1,29,0,1
ASDA,Dolmio Bolognese Chunky Mushroom Pasta Sauce,3.5,2024,1,29,0,1
ASDA,Kellogg's Special K Oats & Honey Cereal,7.8,2024,1,29,0,1
ASDA,Heinz Beef Broth Soup,4.2,2024,1,29,0,1
ASDA,Pringles Cheese & Onion Sharing Crisps,12.2,2024,1,29,0,1
ASDA,Johnson's Soothing Vapour Bath,8.8,2024,1,29,0,1
ASDA,Arla Protein Chocolate Flavour Pudding,6.2,2024,1,29,0,1
ASDA,Dolmio Pasta Bake Carbonara Pasta Sauce,3.6,2024,1,29,0,1
