supermarket,unit_price,unit,names,date,category,own_brand,Morrisons_price,Tesco_price,Sains_price
ASDA,3.4,l,Coca-Cola Zero Sugar Cherry,20240129,fresh_food,False,3.8,2.15,3.5
ASDA,15.4,kg,Dr. Oetker Liquid Glucose,20240129,food_cupboard,False,15.4,15.4,8.9
ASDA,31.8,l,Cetaphil Oily Skin Cleanser,20240129,health_products,False,31.8,38.1,28.6
ASDA,3.7,kg,Dolmio Lasagne Red Tomato Sauce,20240129,food_cupboard,False,5.0,4.3,3.6
ASDA,7.06,kg,Betty Crocker Tempting Chocolate Cake Mix,20240129,food_cupboard,False,5.89,13.3,7.1
ASDA,8.1,l,Haagen-Dazs Belgian Chocolate Ice Cream,20240129,food_cupboard,False,11.3,11.7,8.2
ASDA,13.3,kg,Walkers Salt & Vinegar Multipack Crisps,20240129,food_cupboard,False,14.7,13.0,14.7
ASDA,8.1,l,Haagen-Dazs Salted Caramel Ice Cream,20240129,frozen,False,11.3,11.7,8.2
ASDA,215.0,l,Durex Play Silicone Based Perfect Glide Lubricant Gel,20240129,health_products,False,210.0,215.0,160.0
ASDA,4.4,kg,Yutaka Sushi Rice,20240129,food_cupboard,False,3.4,4.4,3.4
ASDA,28.7,kg,Quaker Oat So Simple Original Porridge Pot,20240129,food_cupboard,False,28.7,28.9,28.9
ASDA,9.3,l,Lee Kum Kee Premium Light Soy Sauce,20240129,free-from,False,9.9,7.3,3.5
ASDA,7.9,kg,Blue Dragon Black Bean Stir Fry Sauce,20240129,food_cupboard,False,7.9,7.9,5.8
ASDA,3.4,kg,Vitalite Dairy Free Spread,20240129,fresh_food,False,3.0,4.0,4.0
ASDA,58.3,kg,Kiddylicious Veggie Straws,20240129,baby_products,False,45.8,64.58500000000001,56.06666666666666
ASDA,7.7,kg,Colman's Bramley Apple Sauce,20240129,food_cupboard,False,11.0,11.0,11.0
ASDA,69.0,l,Deep Heat Muscle Rescue Heat Spray,20240129,health_products,False,81.4,81.4,69.0
ASDA,12.7,kg,Jordans Frusli Juicy Red Berry Chewy Cereal Bars,20240129,food_cupboard,False,12.8,11.1,12.8
ASDA,3.1,l,Diet Pepsi Cola Bottle,20240129,drinks,False,1.0,0.9,3.5
ASDA,13.0,kg,Quaker Oat So Simple Original Porridge Sachets,20240129,food_cupboard,False,12.9,13.0,10.6
ASDA,1.8,kg,Laila Basmati Rice,20240129,food_cupboard,False,1.4,2.1666666666666665,1.6833333333333331
ASDA,1.8,l,Old Jamaica Ginger Beer,20240129,drinks,False,1.8,1.5,1.5
ASDA,17.6,kg,Lavazza Qualita Rossa Coffee Beans,20240129,drinks,False,15.8,16.700000000000006,14.5
ASDA,4.2,kg,Heinz Oxtail Soup,20240129,food_cupboard,False,4.2,4.2,4.3
ASDA,12.2,kg,Pringles Original Sharing Crisps,20240129,food_cupboard,False,12.2,11.7,10.0
ASDA,2.7,l,Naked Green Machine Super Smoothie,20240129,drinks,False,5.3,5.3,7.0
ASDA,3.9,kg,Dolmio Lasagne Creamy White Sauce,20240129,food_cupboard,False,5.3,4.55,3.8
ASDA,8.3,kg,Pukka Beef Pasty,20240129,fresh_food,False,8.3,8.3,5.9
ASDA,13.3,kg,Walkers Smoky Bacon Multipack Crisps,20240129,food_cupboard,False,14.7,13.0,14.7
ASDA,11.5,l,Napolina Extra Virgin Olive Oil,20240129,food_cupboard,False,12.0,10.9,11.8
ASDA,0.7,l,Schweppes Lemonade,20240129,drinks,False,0.7,2.7,2.0
ASDA,11.7,l,Blue Dragon Fish Sauce,20240129,food_cupboard,False,11.7,11.7,10.0
ASDA,4.2,kg,Heinz Vegetable Soup,20240129,food_cupboard,False,4.2,4.2,2.65
ASDA,12.2,kg,Pringles Paprika Sharing Crisps,20240129,food_cupboard,False,12.2,12.2,10.0
ASDA,7.7,kg,Colman's Seafood Sauce,20240129,food_cupboard,False,11.0,11.0,11.0
ASDA,10.5,kg,Bisto Onion Gravy Granules,20240129,food_cupboard,False,14.7,16.3,14.7
ASDA,7.2,kg,Betty Crocker Chocolate Fudge Brownie Mix,20240129,food_cupboard,False,7.2,7.23,7.23
ASDA,8.3,kg,Colman's Tartare Sauce,20240129,food_cupboard,False,11.8,11.8,11.8
ASDA,7.9,kg,Blue Dragon Sweet Chilli & Garlic Stir Fry Sauce,20240129,food_cupboard,False,7.9,7.9,5.8
ASDA,9.7,kg,Whole Earth Smooth Peanut Butter,20240129,food_cupboard,False,6.79,9.9,5.5
ASDA,609.0,kg,Sterling Rolling Tobacco Essential,20240129,home,False,609.0,612.85,18.5
ASDA,8.8,kg,Colman's Horseradish Sauce,20240129,food_cupboard,False,12.5,12.5,12.5
ASDA,12.0,kg,Bonne Maman Hazelnut Chocolate Spread,20240129,food_cupboard,False,12.0,13.0,9.0
ASDA,6.14,kg,Ben's Plant Powered Spicy Lentil Stew,20240129,food_cupboard,False,8.8,8.77,8.77
ASDA,40.0,l,Colgate Total Advanced Deep Clean Toothpaste,20240129,drinks,False,33.3,66.7,33.3
ASDA,3.3,l,Shaken Udder Chocolush Milkshake,20240129,fresh_food,False,3.27,4.8,3.55
ASDA,13.3,kg,Walkers Classic Variety Multipack Crisps,20240129,food_cupboard,False,10.5,10.65,11.666666666666664
ASDA,2.7,l,Naked Blue Machine Super Smoothie,20240129,drinks,False,5.3,5.3,7.0
ASDA,1.4,l,San Pellegrino Sparkling Natural Mineral Water,20240129,drinks,False,0.9,1.8666666666666665,1.3
ASDA,3.4,l,Fanta Orange Zero,20240129,fresh_food,False,1.0,2.2,1.2999999999999998
ASDA,6.8,l,Jimmy's Iced Coffee Mocha,20240129,drinks,False,6.8,7.3,4.5
ASDA,0.38,unit,Soreen Lift Bars Blueberry,20240129,free-from,False,7.4,14.6,0.56
ASDA,1.7,l,Schweppes Pink Soda,20240129,drinks,False,1.3,1.8,2.2
ASDA,3.7,kg,Dolmio Bolognese Smooth Tomato Pasta Sauce,20240129,food_cupboard,False,5.0,4.3,4.35
ASDA,11.6,l,Haagen-Dazs Strawberry Cheesecake Ice Cream,20240129,food_cupboard,False,8.1,11.7,11.6
ASDA,0.7,l,Schweppes Slimline Lemonade,20240129,drinks,False,0.7,0.7,2.0
ASDA,8.0,kg,Anchor Salted Butter,20240129,fresh_food,False,8.0,10.0,10.0
ASDA,4.22,kg,Birds Eye Supersweet Sweetcorn,20240129,frozen,False,4.45,4.45,4.22
ASDA,3.1,l,Tango Orange Original Bottle,20240129,drinks,False,1.0,2.05,3.2
ASDA,4.2,kg,Heinz Lentil Soup,20240129,food_cupboard,False,4.2,4.2,3.0
ASDA,4.2,kg,Heinz Minestrone Soup,20240129,food_cupboard,False,4.2,4.2,3.0
ASDA,3.1,l,Pepsi Max Cherry No Sugar Cola Bottle,20240129,fresh_food,False,1.0,1.7666666666666668,3.5
ASDA,13.9,kg,Walkers Salt & Shake Multipack Crisps,20240129,food_cupboard,False,15.3,13.5,15.3
ASDA,27.1,kg,Properchips Barbecue Lentil Chips,20240129,food_cupboard,False,23.5,50.0,21.5
ASDA,1.7,l,Schweppes Tonic Water,20240129,drinks,False,1.3,2.45,2.2
ASDA,20.6,kg,Reese's Peanut Butter Creme Egg,20240129,fresh_food,False,20.6,17.6,19.1
ASDA,7.5,kg,Rajah Haldi Ground Turmeric,20240129,food_cupboard,False,10.0,6.0,4.0
ASDA,73.3,kg,Kiddylicious Banana & Pumpkin Melty Buttons,20240129,baby_products,False,73.3,116.67,88.3
ASDA,11.1,l,Ben & Jerry's Caramel Chew Chew Ice Cream Tub,20240129,frozen,False,11.8,11.2,8.1
ASDA,5.0,kg,Fullgreen Riced Cauliflower & Broccoli,20240129,free-from,False,9.95,10.0,10.0
ASDA,6.75,kg,Heinz Seriously Good Mayonnaise,20240129,food_cupboard,False,4.4,4.4,5.95
ASDA,6.3,kg,Pip & Nut Crunchy Peanut Butter,20240129,food_cupboard,False,6.7,10.3,7.9
ASDA,7.9,kg,Deliciously Ella Nutty Granola,20240129,food_cupboard,False,7.6,10.0,7.6
ASDA,10.0,kg,Betty Crocker Chocolate Chip Cookie Mix,20240129,food_cupboard,False,9.9,10.0,10.0
ASDA,13.95,kg,Rustlers All Day Breakfast Pancake Stack,20240129,fresh_food,False,17.4,14.34,15.5
ASDA,8.0,kg,Tilda Kids Sunshine Vegetable Rice,20240129,food_cupboard,False,10.0,10.0,8.0
ASDA,1.7,l,Schweppes Slimline Tonic Water,20240129,drinks,False,1.3,2.45,2.2
ASDA,10.75,kg,Lurpak Unsalted Butter,20240129,fresh_food,False,10.75,10.75,8.5
ASDA,0.38,unit,Soreen Lift Bars Raspberry & Vanilla,20240129,free-from,False,7.4,14.6,0.56
ASDA,13.6,kg,Cadbury Dairy Milk Chocolate Bar,20240129,food_cupboard,False,11.1,11.45,13.580000000000002
ASDA,6.3,kg,Pip & Nut Smooth Peanut Butter,20240129,food_cupboard,False,6.7,10.3,10.0
ASDA,2.02,l,Coors,20240129,drinks,False,2.56,2.35,2.52
ASDA,7.0,kg,Morliny Frankfurters,20240129,food_cupboard,False,7.1,7.1,7.0
ASDA,14.7,kg,Bisto Vegetable Gravy Granules,20240129,food_cupboard,False,14.7,16.3,14.7
ASDA,2.5,kg,Ambrosia Devon Custard,20240129,food_cupboard,False,6.3,4.2,4.0
ASDA,10.75,kg,Lurpak Slightly Salted Butter,20240129,fresh_food,False,10.75,10.75,8.5
ASDA,5.51,kg,McCain Potato Smiles,20240129,frozen,False,4.4,5.51,5.51
ASDA,4.2,kg,Heinz Chicken Noodle Soup,20240129,food_cupboard,False,4.2,4.2,4.3
ASDA,12.2,kg,Pringles Salt & Vinegar Sharing Crisps,20240129,food_cupboard,False,12.2,11.7,10.0
ASDA,4.2,kg,Heinz French Onion Soup,20240129,food_cupboard,False,4.2,4.2,3.0
ASDA,12.2,kg,Pringles Prawn Cocktail Sharing Crisps,20240129,food_cupboard,False,12.2,12.2,10.0
ASDA,3.5,kg,Dolmio Bolognese Chunky Mushroom Pasta Sauce,20240129,food_cupboard,False,5.0,5.0,5.0
ASDA,7.8,kg,Kellogg's Special K Oats & Honey Cereal,20240129,food_cupboard,False,7.8,7.9,7.9
ASDA,4.2,kg,Heinz Beef Broth Soup,20240129,food_cupboard,False,4.2,4.2,4.3
ASDA,12.2,kg,Pringles Cheese & Onion Sharing Crisps,20240129,food_cupboard,False,12.2,12.2,10.0
ASDA,8.8,l,Johnson's Soothing Vapour Bath,20240129,baby_products,False,5.7,8.8,5.8
ASDA,6.2,kg,Arla Protein Chocolate Flavour Pudding,20240129,fresh_food,False,6.2,8.8,8.8
ASDA,3.6,kg,Dolmio Pasta Bake Carbonara Pasta Sauce,20240129,food_cupboard,False,5.2,5.2,3.6
ASDA,4.2,kg,Heinz Broccoli & Stilton Soup,20240129,food_cupboard,False,4.2,4.2,3.0
ASDA,4.39,kg,Heinz Spaghetti Hoops in Tomato Sauce,20240129,food_cupboard,False,4.39,3.35,1.88
ASDA,12.2,kg,Pringles Smokey Bacon Sharing Crisps,20240129,food_cupboard,False,12.2,12.2,10.0
ASDA,6.75,l,Heinz Seriously Good Mayonnaise,20240129,food_cupboard,False,4.4,4.4,5.95
ASDA,7.6,kg,Maynards Bassetts Wine Gums,20240129,food_cupboard,False,9.1,9.1,8.5
ASDA,11.0,kg,Yeo Valley Organic Salted Butter,20240129,fresh_food,False,13.75,12.0,10.0
ASDA,0.4,unit,Maltesers Cake Bars,20240129,bakery,False,0.3,0.46,0.3
ASDA,13.0,kg,Prymat Chicken Seasoning,20240129,food_cupboard,False,13.0,13.0,13.3
ASDA,4.2,kg,Heinz Spicy Parsnip Soup,20240129,food_cupboard,False,4.2,4.2,3.0
ASDA,13.0,kg,Bisto Best Beef Gravy Granules,20240129,food_cupboard,False,13.0,17.8,13.35
ASDA,7.6,kg,Maynards Bassetts Jelly Babies,20240129,food_cupboard,False,9.1,9.1,9.1
ASDA,43.75,kg,Cherry Blossom Shoe Polish Black,20240129,household,False,50.0,31.2,2.5
ASDA,11.1,kg,Cadbury Dairy Milk Caramel Chocolate Bar,20240129,food_cupboard,False,11.3,10.8,12.45
ASDA,31.6,kg,Kenco Gold Indulgence Instant Coffee,20240129,drinks,False,30.8,32.0,35.9
ASDA,5.5,kg,Whole Earth Crunchy Peanut Butter,20240129,free-from,False,6.8,9.9,5.5
ASDA,11.0,l,Kikkoman Tamari Gluten Free Soy Sauce,20240129,free-from,False,9.0,12.0,8.0
ASDA,14.0,l,Yutaka Japanese Rice Vinegar,20240129,food_cupboard,False,12.4,14.7,14.3
ASDA,13.5,kg,Blue Dragon Thai Green Curry Paste,20240129,food_cupboard,False,13.5,13.5,11.4
ASDA,9.2,kg,Bonne Maman Strawberry Conserve,20240129,food_cupboard,False,20.0,9.6,7.0
ASDA,38.9,kg,Nescafe Azera Americano Instant Coffee,20240129,drinks,False,39.3,52.1,53.6
ASDA,10.5,kg,Walkers Meaty Variety Multipack Crisps,20240129,food_cupboard,False,10.5,10.5,9.8
ASDA,3.2,l,Bundaberg Ginger Beer,20240129,drinks,False,4.1,4.05,4.3
ASDA,2.87,kg,Bakers Meaty Meals Adult Dry Dog Food Beef,20240129,pets,False,4.1,2.87,2.94
ASDA,13.5,kg,Blue Dragon Thai Red Curry Paste,20240129,food_cupboard,False,13.5,13.5,11.4
